id,latitude,longitude,neighbourhood,room_type,bedrooms,cleaning_fee,security_deposit,Free_parking_on_premises,extra_people,Pool,Dryer,m2,reviews_per_month,Hot_tub,Air_conditioning,Crib,Washer,Dishwasher,Suitable_for_events,property_type,Full_kitchen,Internet,Bathtub,Cable_TV,price
11861453,-22.91318,-43.18442,4,0,3.0,150.0,0.0,1,0.0,1,1,3277.0,0.08,0,1,0,1,0,0,1,0,0,0,1,701.0
11868795,-22.96507,-43.17111,15,1,1.0,150.0,0.0,0,30.0,0,0,12211.0,0.09,0,1,0,0,0,0,1,0,0,0,1,122.0
11869895,-23.00903,-43.37554,7,1,1.0,50.0,500.0,1,80.0,1,1,9334.0,0.18,0,0,0,1,0,1,1,0,1,0,0,101.0
11882012,-23.00928,-43.34382,7,0,2.0,150.0,700.0,1,0.0,1,0,9334.0,0.18,0,1,0,1,0,0,1,0,1,0,1,533.0
11891217,-22.97982,-43.19064,0,0,1.0,80.0,0.0,0,30.0,0,0,12169.0,0.28,0,1,0,0,0,0,1,0,1,0,1,147.0
11899192,-22.97596,-43.232620000000004,16,0,3.0,269.0,1352.0,1,0.0,0,0,13814.0,0.46,0,1,0,1,0,0,0,0,1,0,1,294.0
11901457,-22.96171,-43.17445,0,0,0.0,200.0,500.0,0,0.0,0,0,12169.0,0.17,0,1,0,0,0,0,1,0,0,0,1,399.0
11902395,-22.925710000000002,-43.18045,17,0,1.0,0.0,0.0,0,70.0,0,0,10486.0,2.04,0,1,0,1,0,0,1,0,1,0,1,122.0
11906514,-22.97306,-43.18897,0,0,2.0,240.0,600.0,0,0.0,0,0,12169.0,0.04,0,1,0,1,0,0,1,0,0,0,1,340.0
11907076,-22.94246,-43.18135,8,0,1.0,130.0,0.0,0,35.0,0,0,11378.0,0.18,0,0,0,1,0,0,1,0,0,0,1,76.0
